"Woonplaatsen in Nederland, 2012"
"Onderwerpen";"Woonplaats";"Woonplaats";"Gemeente";"Gemeente"
"Den Bosch";"'s-Hertogenbosch";"1595";"'s-Hertogenbosch";"0796"
"Herveld";"Herveld";"1866";"Overbetuwe";"1734"
"Herwen";"Herwen";"2977";"Rijnwaarden";"0196"
"Herwijnen";"Herwijnen";"2354";"Lingewaal";"0733"
"Heteren";"Heteren";"1867";"Overbetuwe";"1734"
"Heukelom";"Heukelom";"2648";"Oisterwijk";"0824"
"Heukelum";"Heukelum";"2355";"Lingewaal";"0733"
"Heumen";"Heumen";"3495";"Heumen";"0252"
"De Heurne";"De Heurne";"1195";"Aalten";"0197"
"Heusden";"Heusden";"2929";"Asten";"0743"
"Heusden gem Heusden";"Heusden gem Heusden";"3518";"Heusden";"0797"
"Heveadorp";"Heveadorp";"2988";"Renkum";"0274"
"Heythuysen";"Heythuysen";"2947";"Leudal";"1640"
"Hezingen";"Hezingen";"1288";"Tubbergen";"0183"
"Hiaure";"Hiaure";"3398";"Dongeradeel";"0058"
"Hichtum";"Hichtum";"2311";"Súdwest Fryslân";"1900"
"Hidaard";"Hidaard";"2016";"Littenseradiel";"0140"
"Hierden";"Hierden";"3223";"Harderwijk";"0243"
"Hieslum";"Hieslum";"2312";"Súdwest Fryslân";"1900"
"Hijken";"Hijken";"3013";"Midden-Drenthe";"1731"
"Hijum";"Hijum";"3227";"Leeuwarderadeel";"0081"
"Hilaard";"Hilaard";"2017";"Littenseradiel";"0140"
"Hillegom";"Hillegom";"1710";"Hillegom";"0534"
"Hilvarenbeek";"Hilvarenbeek";"1307";"Hilvarenbeek";"0798"
"Hilversum";"Hilversum";"1036";"Hilversum";"0402"
"Hindeloopen";"Hindeloopen";"1968";"Súdwest Fryslân";"1900"
"Hinnaard";"Hinnaard";"2018";"Littenseradiel";"0140"
"Hippolytushoef";"Hippolytushoef";"1488";"Hollands Kroon";"1911"
"Hitzum";"Hitzum";"1363";"Franekeradeel";"0070"
"Hobrede";"Hobrede";"1838";"Zeevang";"0478"
"Hoedekenskerke";"Hoedekenskerke";"1256";"Borsele";"0654"
"De Hoef";"De Hoef";"1934";"De Ronde Venen";"0736"
"Hoek";"Hoek";"1130";"Terneuzen";"0715"
"Hoek van Holland";"Hoek van Holland";"3082";"Rotterdam";"0599"
"Hoenderloo";"Hoenderloo";"2257";"Apeldoorn";"0200"
"Hoenderloo";"Hoenderloo";"2772";"Ede";"0228"
"Hoensbroek";"Hoensbroek";"1313";"Heerlen";"0917"
"Hoenzadriel";"Hoenzadriel";"1627";"Maasdriel";"0263"
"De Hoeve";"De Hoeve";"1723";"Weststellingwerf";"0098"
"Hoevelaken";"Hoevelaken";"2871";"Nijkerk";"0267"
"Hoeven";"Hoeven";"1250";"Halderberge";"1655"
"Hoge Hexel";"Hoge Hexel";"1089";"Wierden";"0189"
"Hollandsche Rading";"Hollandsche Rading";"2938";"De Bilt";"0310"
"Hollandscheveld";"Hollandscheveld";"1813";"Hoogeveen";"0118"
"Hollum";"Hollum";"2586";"Ameland";"0060"
"Holsloot";"Holsloot";"2156";"Coevorden";"0109"
"Holten";"Holten";"1567";"Rijssen-Holten";"1742"
"Holthees";"Holthees";"1217";"Boxmeer";"0756"
"Holtheme";"Holtheme";"1552";"Hardenberg";"0160"
"Holthone";"Holthone";"1553";"Hardenberg";"0160"
"Holtum";"Holtum";"2814";"Sittard-Geleen";"1883"
"Holwerd";"Holwerd";"3399";"Dongeradeel";"0058"
"Holwierde";"Holwierde";"3237";"Delfzijl";"0010"
"Hommerts";"Hommerts";"2408";"Súdwest Fryslân";"1900"
"Homoet";"Homoet";"1868";"Overbetuwe";"1734"
"Honselersdijk";"Honselersdijk";"2656";"Westland";"1783"
"Hoofddorp";"Hoofddorp";"1597";"Haarlemmermeer";"0394"
"Hoofdplaat";"Hoofdplaat";"2968";"Sluis";"1714"
"Hoog Soeren";"Hoog Soeren";"2249";"Apeldoorn";"0200"
"Hoogblokland";"Hoogblokland";"1434";"Giessenlanden";"0689"
"Hooge Mierde";"Hooge Mierde";"1874";"Reusel-De Mierden";"1667"
"Hooge Zwaluwe";"Hooge Zwaluwe";"2575";"Drimmelen";"1719"
"Hoogeloon";"Hoogeloon";"1066";"Bladel";"1728"
"Hoogenweg";"Hoogenweg";"1554";"Hardenberg";"0160"
"Hoogerheide";"Hoogerheide";"1000";"Woensdrecht";"0873"
"Hoogersmilde";"Hoogersmilde";"3115";"Westerveld";"1701"
"Hoogersmilde";"Hoogersmilde";"3014";"Midden-Drenthe";"1731"
"Hoogeveen";"Hoogeveen";"1814";"Hoogeveen";"0118"
"Hoogezand";"Hoogezand";"1018";"Hoogezand-Sappemeer";"0018"
"Hooghalen";"Hooghalen";"3015";"Midden-Drenthe";"1731"
"Hoogkarspel";"Hoogkarspel";"1508";"Drechterland";"0498"
"Hoog-Keppel";"Hoog-Keppel";"1521";"Bronckhorst";"1876"
"Hoogland";"Hoogland";"1665";"Amersfoort";"0307"
"Hooglanderveen";"Hooglanderveen";"1666";"Amersfoort";"0307"
"Hoogmade";"Hoogmade";"3034";"Kaag en Braassem";"1884"
"Hoogvliet Rotterdam";"Hoogvliet Rotterdam";"3083";"Rotterdam";"0599"
"Hoogwoud";"Hoogwoud";"2790";"Opmeer";"0432"
"Hoorn";"Hoorn";"2615";"Terschelling";"0093"
"Hoorn";"Hoorn";"2461";"Hoorn";"0405"
"Den Hoorn";"Den Hoorn";"2807";"Midden-Delfland";"1842"
"Den Hoorn Texel";"Den Hoorn Texel";"2741";"Texel";"0448"
"Hoornaar";"Hoornaar";"1435";"Giessenlanden";"0689"
"Hoornsterzwaag";"Hoornsterzwaag";"2197";"Heerenveen";"0074"
"Horn";"Horn";"2948";"Leudal";"1640"
"Den Horn";"Den Horn";"2117";"Zuidhorn";"0056"
"Hornhuizen";"Hornhuizen";"3416";"De Marne";"1663"
"Horssen";"Horssen";"2905";"Druten";"0225"
"Horst";"Horst";"1032";"Horst aan de Maas";"1507"
"Den Hout";"Den Hout";"2958";"Oosterhout";"0826"
"Houten";"Houten";"2053";"Houten";"0321"
"Houtigehage";"Houtigehage";"3282";"Smallingerland";"0090"
"Houwerzijl";"Houwerzijl";"3417";"De Marne";"1663"
"Huijbergen";"Huijbergen";"1001";"Woensdrecht";"0873"
"Huis ter Heide";"Huis ter Heide";"2825";"Zeist";"0355"
"Huis ter Heide";"Huis ter Heide";"1637";"Noordenveld";"1699"
"Huisduinen";"Huisduinen";"3057";"Den Helder";"0400"
"Huisseling";"Huisseling";"3257";"Oss";"0828"
"Huissen";"Huissen";"3130";"Lingewaard";"1705"
"Huizen";"Huizen";"1011";"Huizen";"0406"
"Huizinge";"Huizinge";"3447";"Loppersum";"0024"
"Hulsberg";"Hulsberg";"2359";"Nuth";"0951"
"Hulsel";"Hulsel";"1875";"Reusel-De Mierden";"1667"
"Hulshorst";"Hulshorst";"2984";"Nunspeet";"0302"
"Hulst";"Hulst";"3088";"Hulst";"0677"
"Hulten";"Hulten";"2068";"Gilze en Rijen";"0784"
"Hummelo";"Hummelo";"1523";"Bronckhorst";"1876"
"Húns";"Húns";"2019";"Littenseradiel";"0140"
"Hunsel";"Hunsel";"2949";"Leudal";"1640"
"Hurdegaryp";"Hurdegaryp";"2449";"Tytsjerksteradiel";"0737"
"Hurwenen";"Hurwenen";"1628";"Maasdriel";"0263"
"Idaerd";"Idaerd";"2529";"Boarnsterhim";"0055"
"Idsegahuizum";"Idsegahuizum";"2313";"Súdwest Fryslân";"1900"
"Idskenhuizen";"Idskenhuizen";"2492";"Skarsterlân";"0051"
"Ter Idzard";"Ter Idzard";"1742";"Weststellingwerf";"0098"
"Idzega";"Idzega";"2409";"Súdwest Fryslân";"1900"
"Iens";"Iens";"2020";"Littenseradiel";"0140"
"IJhorst";"IJhorst";"1048";"Staphorst";"0180"
"IJlst";"IJlst";"2410";"Súdwest Fryslân";"1900"
"IJmuiden";"IJmuiden";"2835";"Velsen";"0453"
"IJsselham";"IJsselham";"2701";"Steenwijkerland";"1708"
"IJsselmuiden";"IJsselmuiden";"2895";"Kampen";"0166"
"IJsselstein";"IJsselstein";"2432";"IJsselstein";"0353"
"IJzendijke";"IJzendijke";"2974";"Sluis";"1714"
"IJzendoorn";"IJzendoorn";"1099";"Neder-Betuwe";"1740"
"Den Ilp";"Den Ilp";"1329";"Landsmeer";"0415"
"Ilpendam";"Ilpendam";"1941";"Waterland";"0852"
"Indijk";"Indijk";"2411";"Súdwest Fryslân";"1900"
"Ingber";"Ingber";"1226";"Gulpen-Wittem";"1729"
"Ingelum";"Ingelum";"2728";"Menameradiel";"1908"
"Ingen";"Ingen";"3376";"Buren";"0214"
"It Heidenskip";"It Heidenskip";"1973";"Súdwest Fryslân";"1900"
"Itens";"Itens";"2021";"Littenseradiel";"0140"
"Ittervoort";"Ittervoort";"2950";"Leudal";"1640"
"Jaarsveld";"Jaarsveld";"1959";"Lopik";"0331"
"Jabeek";"Jabeek";"2846";"Onderbanken";"0881"
"Jannum";"Jannum";"3205";"Ferwerderadiel";"1722"
"Jellum";"Jellum";"2022";"Littenseradiel";"0140"
"Jelsum";"Jelsum";"3228";"Leeuwarderadeel";"0081"
"Jirnsum";"Jirnsum";"2530";"Boarnsterhim";"0055"
"Jislum";"Jislum";"3206";"Ferwerderadiel";"1722"
"Jisp";"Jisp";"2284";"Wormerland";"0880"
"Jistrum";"Jistrum";"2452";"Tytsjerksteradiel";"0737"
"Jonkerslân";"Jonkerslân";"3348";"Opsterland";"0086"
"Jonkersvaart";"Jonkersvaart";"2261";"Marum";"0025"
"Joppe";"Joppe";"1340";"Lochem";"0262"
"Jorwert";"Jorwert";"2023";"Littenseradiel";"0140"
"Joure";"Joure";"2493";"Skarsterlân";"0051"
"Jouswier";"Jouswier";"3400";"Dongeradeel";"0058"
"Jubbega";"Jubbega";"2196";"Heerenveen";"0074"
"Julianadorp";"Julianadorp";"3058";"Den Helder";"0400"
"Jutrijp";"Jutrijp";"2412";"Súdwest Fryslân";"1900"
"Kaag";"Kaag";"3035";"Kaag en Braassem";"1884"
"Kaard";"Kaard";"2622";"Terschelling";"0093"
"Kaatsheuvel";"Kaatsheuvel";"3052";"Loon op Zand";"0809"
"Kalenberg";"Kalenberg";"2702";"Steenwijkerland";"1708"
"Kallenkote";"Kallenkote";"2703";"Steenwijkerland";"1708"
"Kamerik";"Kamerik";"1073";"Woerden";"0632"
"Kampen";"Kampen";"2894";"Kampen";"0166"
"Kamperland";"Kamperland";"3188";"Noord-Beveland";"1695"
"Kamperveen";"Kamperveen";"2900";"Kampen";"0166"
"Kantens";"Kantens";"3475";"Eemsmond";"1651"
"Kapel Avezaath";"Kapel Avezaath";"2560";"Tiel";"0281"
"Kapel-Avezaath";"Kapel-Avezaath";"3377";"Buren";"0214"
"Kapelle";"Kapelle";"1467";"Kapelle";"0678"
"Kapellebrug";"Kapellebrug";"3090";"Hulst";"0677"
"Katlijk";"Katlijk";"2192";"Heerenveen";"0074"
"Kats";"Kats";"3192";"Noord-Beveland";"1695"
"Kattendijke";"Kattendijke";"1825";"Goes";"0664"
"Katwijk";"Katwijk";"1707";"Katwijk";"0537"
"Katwijk (NB.)";"Katwijk (NB.)";"1452";"Cuijk";"1684"
"Katwoude";"Katwoude";"1942";"Waterland";"0852"
"Kedichem";"Kedichem";"2273";"Leerdam";"0545"
"Keent";"Keent";"3264";"Oss";"0828"
"Keijenborg";"Keijenborg";"1536";"Bronckhorst";"1876"
"Kekerdom";"Kekerdom";"2875";"Ubbergen";"0282"
"Kelpen-Oler";"Kelpen-Oler";"2951";"Leudal";"1640"
"Kerk Avezaath";"Kerk Avezaath";"2561";"Tiel";"0281"
"Kerk-Avezaath";"Kerk-Avezaath";"3378";"Buren";"0214"
"Kerkdriel";"Kerkdriel";"1629";"Maasdriel";"0263"
"Kerkenveld";"Kerkenveld";"3166";"De Wolden";"1690"
"Kerkrade";"Kerkrade";"2649";"Kerkrade";"0928"
"Kerkwerve";"Kerkwerve";"2679";"Schouwen-Duiveland";"1676"
"Kerkwijk";"Kerkwijk";"2632";"Zaltbommel";"0297"
"Kessel";"Kessel";"1699";"Peel en Maas";"1894"
"Kesteren";"Kesteren";"1096";"Neder-Betuwe";"1740"
"De Kiel";"De Kiel";"2151";"Coevorden";"0109"
"Kiel-Windeweer";"Kiel-Windeweer";"1019";"Hoogezand-Sappemeer";"0018"
"Kilder";"Kilder";"2207";"Montferland";"1955"
"Kimswerd";"Kimswerd";"2314";"Súdwest Fryslân";"1900"
"Kinderdijk";"Kinderdijk";"2794";"Nieuw-Lekkerland";"0571"
"Kinnum";"Kinnum";"2624";"Terschelling";"0093"
"Klaaswaal";"Klaaswaal";"2371";"Cromstrijen";"0611"
"Klarenbeek";"Klarenbeek";"2248";"Apeldoorn";"0200"
"Klarenbeek";"Klarenbeek";"2606";"Voorst";"0285"
"Klazienaveen";"Klazienaveen";"1991";"Emmen";"0114"
"Klazienaveen-Noord";"Klazienaveen-Noord";"1992";"Emmen";"0114"
"Klein Zundert";"Klein Zundert";"3492";"Zundert";"0879"
"Klijndijk";"Klijndijk";"1796";"Borger-Odoorn";"1681"
"Klimmen";"Klimmen";"1853";"Voerendaal";"0986"
"Kloetinge";"Kloetinge";"1826";"Goes";"0664"
"Kloetinge";"Kloetinge";"1468";"Kapelle";"0678"
"De Klomp";"De Klomp";"2770";"Ede";"0228"
"Klooster Lidlum";"Klooster Lidlum";"1376";"Franekeradeel";"0070"
"Kloosterburen";"Kloosterburen";"3418";"De Marne";"1663"
"Kloosterhaar";"Kloosterhaar";"1555";"Hardenberg";"0160"
"Kloosterhaar";"Kloosterhaar";"3323";"Twenterand";"1700"
"Kloosterzande";"Kloosterzande";"3100";"Hulst";"0677"
"Klundert";"Klundert";"1319";"Moerdijk";"1709"
"Knegsel";"Knegsel";"2994";"Eersel";"0770"
"De Knipe";"De Knipe";"2190";"Heerenveen";"0074"
"Koarnjum";"Koarnjum";"3229";"Leeuwarderadeel";"0081"
"Kockengen";"Kockengen";"1393";"Stichtse Vecht";"1904"
"Koedijk";"Koedijk";"1120";"Langedijk";"0416"
"Koedijk";"Koedijk";"2349";"Alkmaar";"0361"
"Koekange";"Koekange";"3167";"De Wolden";"1690"
"Koewacht";"Koewacht";"1131";"Terneuzen";"0715"
"Kolderwolde";"Kolderwolde";"1677";"Gaasterlân-Sleat";"0653"
"Kolham";"Kolham";"1351";"Slochteren";"0040"
"Kolhorn";"Kolhorn";"2516";"Hollands Kroon";"1911"
"Kollum";"Kollum";"3309";"Kollumerland en Nieuwkruisland";"0079"
"Kollumerpomp";"Kollumerpomp";"3310";"Kollumerland en Nieuwkruisland";"0079"
"Kollumerzwaag";"Kollumerzwaag";"3311";"Kollumerland en Nieuwkruisland";"0079"
"Kommerzijl";"Kommerzijl";"2119";"Zuidhorn";"0056"
"Koningsbosch";"Koningsbosch";"2042";"Echt-Susteren";"1711"
"Koningslust";"Koningslust";"3442";"Peel en Maas";"1894"
"De Koog";"De Koog";"2738";"Texel";"0448"
"Koog aan de Zaan";"Koog aan de Zaan";"1879";"Zaanstad";"0479"
"Koolwijk";"Koolwijk";"3258";"Oss";"0828"
"Kootstertille";"Kootstertille";"3179";"Achtkarspelen";"0059"
"Kootwijk";"Kootwijk";"1062";"Barneveld";"0203"
"Kootwijkerbroek";"Kootwijkerbroek";"1056";"Barneveld";"0203"
"Kornhorn";"Kornhorn";"2176";"Grootegast";"0015"
"Kornwerderzand";"Kornwerderzand";"2315";"Súdwest Fryslân";"1900"
"Kortehemmen";"Kortehemmen";"3283";"Smallingerland";"0090"
"Kortenhoef";"Kortenhoef";"3001";"Wijdemeren";"1696"
"Kortgene";"Kortgene";"3189";"Noord-Beveland";"1695"
"Koudekerk aan den Rijn";"Koudekerk aan den Rijn";"2850";"Rijnwoude";"1672"
"Koudekerke";"Koudekerke";"2779";"Veere";"0717"
"Koudum";"Koudum";"1966";"Súdwest Fryslân";"1900"
"Koufurderrige";"Koufurderrige";"2413";"Súdwest Fryslân";"1900"
"Krabbendijke";"Krabbendijke";"3462";"Reimerswaal";"0703"
"Kraggenburg";"Kraggenburg";"1275";"Noordoostpolder";"0171"
"Kreileroord";"Kreileroord";"2433";"Hollands Kroon";"1911"
"Krewerd";"Krewerd";"3238";"Delfzijl";"0010"
"De Krim";"De Krim";"1545";"Hardenberg";"0160"
"Krimpen aan de Lek";"Krimpen aan de Lek";"2375";"Nederlek";"0643"
"Krimpen aan den IJssel";"Krimpen aan den IJssel";"1144";"Krimpen aan den IJssel";"0542"
"Kring van Dorth";"Kring van Dorth";"1341";"Lochem";"0262"
"Krommenie";"Krommenie";"1880";"Zaanstad";"0479"
"Kronenberg";"Kronenberg";"1516";"Horst aan de Maas";"1507"
"Kropswolde";"Kropswolde";"1020";"Hoogezand-Sappemeer";"0018"
"Kruiningen";"Kruiningen";"3463";"Reimerswaal";"0703"
"Kruisland";"Kruisland";"1403";"Steenbergen";"0851"
"Kûbaard";"Kûbaard";"2024";"Littenseradiel";"0140"
"Kudelstaart";"Kudelstaart";"2572";"Aalsmeer";"0358"
"Kuinre";"Kuinre";"2704";"Steenwijkerland";"1708"
"Kuitaart";"Kuitaart";"3097";"Hulst";"0677"
"Kwadendamme";"Kwadendamme";"1257";"Borsele";"0654"
"Kwadijk";"Kwadijk";"1839";"Zeevang";"0478"
"De Kwakel";"De Kwakel";"2063";"Uithoorn";"0451"
"Kwintsheul";"Kwintsheul";"2657";"Westland";"1783"
"Laag Zuthem";"Laag Zuthem";"1495";"Raalte";"0177"
"Laag-Keppel";"Laag-Keppel";"1522";"Bronckhorst";"1876"
"Laag-Soeren";"Laag-Soeren";"1506";"Rheden";"0275"
"Lage Mierde";"Lage Mierde";"1876";"Reusel-De Mierden";"1667"
"Lage Vuursche";"Lage Vuursche";"1093";"Baarn";"0308"
"Lage Zwaluwe";"Lage Zwaluwe";"2576";"Drimmelen";"1719"
"Lageland";"Lageland";"1352";"Slochteren";"0040"
"Lambertschaag";"Lambertschaag";"3150";"Medemblik";"0420"
"Lamswaarde";"Lamswaarde";"3099";"Hulst";"0677"
"Landerum";"Landerum";"2618";"Terschelling";"0093"
"Landgraaf";"Landgraaf";"3055";"Landgraaf";"0882"
"Landhorst";"Landhorst";"2080";"Sint Anthonis";"1702"
"Landsmeer";"Landsmeer";"1328";"Landsmeer";"0415"
"Langbroek";"Langbroek";"1303";"Wijk bij Duurstede";"0352"
"Langedijke";"Langedijke";"1759";"Ooststellingwerf";"0085"
"Langelille";"Langelille";"1724";"Weststellingwerf";"0098"
"Langelo";"Langelo";"1638";"Noordenveld";"1699"
"Langenboom";"Langenboom";"1978";"Mill en Sint Hubert";"0815"
"Langerak";"Langerak";"1808";"Liesveld";"0694"
"Langeveen";"Langeveen";"1289";"Tubbergen";"0183"
"Langeweg";"Langeweg";"1326";"Moerdijk";"1709"
"Langezwaag";"Langezwaag";"3349";"Opsterland";"0086"
"Langweer";"Langweer";"2494";"Skarsterlân";"0051"
"Laren";"Laren";"1342";"Lochem";"0262"
"Laren";"Laren";"2890";"Laren";"0417"
"Lathum";"Lathum";"1301";"Zevenaar";"0299"
"Lattrop-Breklenkamp";"Lattrop-Breklenkamp";"1410";"Dinkelland";"1774"
"Lauwersoog";"Lauwersoog";"3419";"De Marne";"1663"
"Lauwerzijl";"Lauwerzijl";"2120";"Zuidhorn";"0056"
"Ledeacker";"Ledeacker";"2081";"Sint Anthonis";"1702"
"Leek";"Leek";"2341";"Leek";"0022"
"Leende";"Leende";"1315";"Heeze-Leende";"1658"
"Leens";"Leens";"3420";"De Marne";"1663"
"Leerbroek";"Leerbroek";"2110";"Zederik";"0707"
"Leerdam";"Leerdam";"2271";"Leerdam";"0545"
"Leermens";"Leermens";"3448";"Loppersum";"0024"
"Leersum";"Leersum";"3336";"Utrechtse Heuvelrug";"1581"
"Leeuwarden";"Leeuwarden";"1197";"Leeuwarden";"0080"
"Legemeer";"Legemeer";"2495";"Skarsterlân";"0051"
"Leiden";"Leiden";"2088";"Leiden";"0546"
"Leiderdorp";"Leiderdorp";"2112";"Leiderdorp";"0547"
"Leidschendam";"Leidschendam";"1621";"Leidschendam-Voorburg";"1916"
"Leimuiden";"Leimuiden";"3036";"Kaag en Braassem";"1884"
"Leimuiderbrug";"Leimuiderbrug";"1605";"Haarlemmermeer";"0394"
"Lekkerkerk";"Lekkerkerk";"2376";"Nederlek";"0643"
"Lekkum";"Lekkum";"1198";"Leeuwarden";"0080"
"Lellens";"Lellens";"1835";"Ten Boer";"0009"
"Lelystad";"Lelystad";"1051";"Lelystad";"0995"
"Lemele";"Lemele";"2552";"Ommen";"0175"
"Lemelerveld";"Lemelerveld";"1238";"Dalfsen";"0148"
"Lemiers";"Lemiers";"1430";"Vaals";"0981"
"Lemmer";"Lemmer";"2245";"Lemsterland";"0082"
"Lengel";"Lengel";"2208";"Montferland";"1955"
"Lent";"Lent";"2545";"Nijmegen";"0268"
"Leons";"Leons";"2025";"Littenseradiel";"0140"
"Lepelstraat";"Lepelstraat";"1939";"Bergen op Zoom";"0748"
"Lettelbert";"Lettelbert";"2342";"Leek";"0022"
"Lettele";"Lettele";"2858";"Deventer";"0150"
"Leunen";"Leunen";"2330";"Venray";"0984"
"Leur";"Leur";"2567";"Wijchen";"0296"
"Leusden";"Leusden";"2638";"Leusden";"0327"
"Leuth";"Leuth";"2876";"Ubbergen";"0282"
"Leutingewolde";"Leutingewolde";"1639";"Noordenveld";"1699"
"Leuvenheim";"Leuvenheim";"1112";"Brummen";"0213"
"Leveroy";"Leveroy";"2040";"Nederweert";"0946"
"Lewedorp";"Lewedorp";"1258";"Borsele";"0654"
"Lexmond";"Lexmond";"2105";"Zederik";"0707"
"Lichtaard";"Lichtaard";"3207";"Ferwerderadiel";"1722"
"Lichtenvoorde";"Lichtenvoorde";"2227";"Oost Gelre";"1586"
"Liempde";"Liempde";"2440";"Boxtel";"0757"
"Lienden";"Lienden";"3379";"Buren";"0214"
"De Lier";"De Lier";"2655";"Westland";"1783"
"Lierderholthuis";"Lierderholthuis";"1496";"Raalte";"0177"
"Lieren";"Lieren";"2250";"Apeldoorn";"0200"
"Lierop";"Lierop";"2746";"Someren";"0847"
"Lies";"Lies";"2616";"Terschelling";"0093"
"Lieshout";"Lieshout";"1447";"Laarbeek";"1659"
"Liessel";"Liessel";"1776";"Deurne";"0762"
"Lievelde";"Lievelde";"2225";"Oost Gelre";"1586"
"Lieveren";"Lieveren";"1640";"Noordenveld";"1699"
"Lijnden";"Lijnden";"1616";"Haarlemmermeer";"0394"
"Limbricht";"Limbricht";"2815";"Sittard-Geleen";"1883"
"Limmen";"Limmen";"2270";"Castricum";"0383"
"Linde";"Linde";"3168";"De Wolden";"1690"
"Linden";"Linden";"1453";"Cuijk";"1684"
"Linne";"Linne";"1921";"Maasgouw";"1641"
"Linschoten";"Linschoten";"1963";"Montfoort";"0335"
"Lioessens";"Lioessens";"3401";"Dongeradeel";"0058"
"Lippenhuizen";"Lippenhuizen";"3350";"Opsterland";"0086"
"Lisse";"Lisse";"1466";"Lisse";"0553"
"Lisserbroek";"Lisserbroek";"1609";"Haarlemmermeer";"0394"
"Lith";"Lith";"3468";"Oss";"0828"
"Lithoijen";"Lithoijen";"3469";"Oss";"0828"
"Lobith";"Lobith";"2978";"Rijnwaarden";"0196"
"Lochem";"Lochem";"1343";"Lochem";"0262"
"Loenen";"Loenen";"2251";"Apeldoorn";"0200"
"Loenen aan de Vecht";"Loenen aan de Vecht";"2219";"Stichtse Vecht";"1904"
"Loenersloot";"Loenersloot";"2220";"Stichtse Vecht";"1904"
"Loënga";"Loënga";"3505";"Súdwest Fryslân";"1900"
"Loerbeek";"Loerbeek";"2209";"Montferland";"1955"
"Lollum";"Lollum";"2316";"Súdwest Fryslân";"1900"
"Lomm";"Lomm";"3141";"Venlo";"0983"
"Longerhouw";"Longerhouw";"2317";"Súdwest Fryslân";"1900"
"Loo (Gld.)";"Loo (Gld.)";"2098";"Duiven";"0226"
"Loo (Gld.)";"Loo (Gld.)";"3135";"Lingewaard";"1705"
"'t Loo Oldebroek";"'t Loo Oldebroek";"3068";"Oldebroek";"0269"
"Loon";"Loon";"2392";"Assen";"0106"
"Loon op Zand";"Loon op Zand";"3053";"Loon op Zand";"0809"
"Loosbroek";"Loosbroek";"3061";"Bernheze";"1721"
"Loosdrecht";"Loosdrecht";"3002";"Wijdemeren";"1696"
"Loozen";"Loozen";"1556";"Hardenberg";"0160"
"Lopik";"Lopik";"1960";"Lopik";"0331"
"Lopikerkapel";"Lopikerkapel";"1961";"Lopik";"0331"
"Loppersum";"Loppersum";"3449";"Loppersum";"0024"
"Losdorp";"Losdorp";"3239";"Delfzijl";"0010"
"Losser";"Losser";"1713";"Losser";"0168"
"Lottum";"Lottum";"1033";"Horst aan de Maas";"1507"
"Lucaswolde";"Lucaswolde";"2262";"Marum";"0025"
"Luddeweer";"Luddeweer";"1353";"Slochteren";"0040"
"Luinjeberd";"Luinjeberd";"2183";"Heerenveen";"0074"
"Lunteren";"Lunteren";"2765";"Ede";"0228"
"Lutjebroek";"Lutjebroek";"1104";"Stede Broec";"0532"
"Lutjegast";"Lutjegast";"2177";"Grootegast";"0015"
"Lutjewinkel";"Lutjewinkel";"2517";"Hollands Kroon";"1911"
"de Lutte";"de Lutte";"1714";"Losser";"0168"
"Luttelgeest";"Luttelgeest";"1273";"Noordoostpolder";"0171"
"Lutten";"Lutten";"1557";"Hardenberg";"0160"
"Luttenberg";"Luttenberg";"1494";"Raalte";"0177"
"Luxwoude";"Luxwoude";"3351";"Opsterland";"0086"
"Luyksgestel";"Luyksgestel";"1458";"Bergeijk";"1724"
"Lytsewierrum";"Lytsewierrum";"2026";"Littenseradiel";"0140"
"Maarheeze";"Maarheeze";"1568";"Cranendonck";"1706"
"Maarn";"Maarn";"3340";"Utrechtse Heuvelrug";"1581"
"Maarsbergen";"Maarsbergen";"3341";"Utrechtse Heuvelrug";"1581"
"Maarssen";"Maarssen";"2064";"Stichtse Vecht";"1904"
"Maartensdijk";"Maartensdijk";"2936";"De Bilt";"0310"
"Maasbommel";"Maasbommel";"1772";"West Maas en Waal";"0668"
"Maasbracht";"Maasbracht";"1920";"Maasgouw";"1641"
"Maasbree";"Maasbree";"2601";"Peel en Maas";"1894"
"Maasdam";"Maasdam";"2382";"Binnenmaas";"0585"
"Maasdijk";"Maasdijk";"2658";"Westland";"1783"
"Maashees";"Maashees";"1218";"Boxmeer";"0756"
"Maasland";"Maasland";"2806";"Midden-Delfland";"1842"
"Maassluis";"Maassluis";"1069";"Maassluis";"0556"
"Maastricht";"Maastricht";"1406";"Maastricht";"0935"
"Maastricht-Airport";"Maastricht-Airport";"1672";"Beek";"0888"
"Maasvlakte Rotterdam";"Maasvlakte Rotterdam";"3084";"Rotterdam";"0599"
"Macharen";"Macharen";"3252";"Oss";"0828"
"Made";"Made";"2577";"Drimmelen";"1719"
"Makkinga";"Makkinga";"1760";"Ooststellingwerf";"0085"
"Makkum";"Makkum";"2318";"Súdwest Fryslân";"1900"
"Malden";"Malden";"3494";"Heumen";"0252"
"Mander";"Mander";"1290";"Tubbergen";"0183"
"Manderveen";"Manderveen";"1291";"Tubbergen";"0183"
"Mantgum";"Mantgum";"2027";"Littenseradiel";"0140"
"Mantinge";"Mantinge";"3016";"Midden-Drenthe";"1731"
"Maren-Kessel";"Maren-Kessel";"3471";"Oss";"0828"
"Margraten";"Margraten";"1694";"Eijsden-Margraten";"1903"
"Maria Hoop";"Maria Hoop";"2043";"Echt-Susteren";"1711"
"Mariahout";"Mariahout";"1448";"Laarbeek";"1659"
"Mariaparochie";"Mariaparochie";"1292";"Tubbergen";"0183"
